дата,уникални_думи_брой,уникални_думи_процент,общо_думи_брой,общо_думи_процент,стихове_брой,стихове_процент
2023-09-01,1,0.008074935400516795,1,0.0001278656285682502,1,0.0032152273165712815
2024-02-25,2974,24.02843984810536,693628,88.77461169074509,253,0.8134525110925342
2024-02-26,2995,24.198109396461177,694293,88.85972232176682,258,0.8295286476753907
2024-02-28,3061,24.729358539344,695196,88.97358549486722,263,0.845604784258247
2024-03-01,3100,25.046457138240285,695933,89.1118179280532,267,0.8584656935245322
2024-03-04,3104,25.07877514745092,696012,89.1219336053042,270,0.868111375474246
2024-03-05,3105,25.086854649753576,696171,89.14229300635367,271,0.8713266027908173
2024-03-06,3106,25.09493415205624,696225,89.14920751991764,271,0.8713266027908173
2024-03-07,3137,25.34335110680239,697333,89.28490947735013,278,0.8938331940068163
2024-03-08,3164,25.56148004524156,697936,89.36211620701134,283,0.9099093305896728
2024-03-15,3218,25.99773792211989,700293,89.66390105246985,292,0.9388463764388142
2024-03-17,3250,26.25626110841816,700846,89.7347058974162,305,0.9806443315542408
2024-03-25,3308,26.72483438358378,702256,89.91523904637525,316,1.016011832036525
2024-03-26,3351,27.07222491517208,703518,90.07682261657833,323,1.038518423252524
2024-03-29,3376,27.274196154467603,704041,90.14378633069576,332,1.0674554691016656
2024-04-01,3422,27.645823234771367,705187,90.29051752836035,339,1.0899620603176643
2024-04-04,3435,27.75084827920504,705329,90.30869888095056,341,1.096392514950807
2024-04-05,3454,27.89983844911147,706217,90.38212468388774,347,1.1156838788502348
2024-04-07,3472,28.04523424878837,706693,90.44304348271235,364,1.1703427432319464
2024-04-08,3472,28.04523424878837,706693,90.44304348271235,364,1.1703427432319464
2024-04-15,3516,28.39835231402956,707307,90.509924258032,369,1.186418879814803
2024-04-16,3532,28.527582586220824,707590,90.54613810656596,372,1.1960645617645167
2024-05-01,3552,28.689120426459898,707909,90.58695866374738,377,1.2121406983473733
2024-05-02,3580,28.915273402794604,708554,90.66949552701386,384,1.2346472895633722
2024-05-09,3615,29.197964623212982,709025,90.72976663181775,393,1.2635843354125136
2024-05-17,3628,29.295865633074936,709257,90.74610022723084,396,1.2732300173622275
2024-05-24,3649,29.46543927648579,709650,90.79638273045508,401,1.289306153945084
2024-06-06,3664,29.58656330749354,709974,90.83783700792236,413,1.3278888817439394
2024-06-10,3695,29.83688630490956,711305,91.00813220332044,429,1.3793325188090797
2024-06-14,3750,30.281007751937985,713043,91.17369139119084,446,1.4339913831907916
2024-06-15,3752,30.29715762273901,713047,91.1742028537051,449,1.4436370651405055
2024-06-16,3772,30.458656330749353,713372,91.21575918298979,451,1.450067519773648
